,zip,city,county,type,Unnamed: 0,lat,lon
0,90001,Los Angeles,Los Angeles,Standard,0,33.974027,-118.249509
1,90001,Los Angeles,Los Angeles,Standard,64,33.974027,-118.249509
2,90001,Los Angeles,Los Angeles,Standard,128,33.974027,-118.249509
3,90001,Los Angeles,Los Angeles,Standard,192,33.974027,-118.249509
4,90001,Los Angeles,Los Angeles,Standard,256,33.974027,-118.249509
5,90001,Los Angeles,Los Angeles,Standard,258,33.974027,-118.249509
6,90001,Los Angeles,Los Angeles,Standard,268,33.974027,-118.249509
7,90001,Los Angeles,Los Angeles,Standard,283,33.974027,-118.249509
8,90001,Los Angeles,Los Angeles,Standard,303,33.974027,-118.249509
9,90001,Los Angeles,Los Angeles,Standard,343,33.974027,-118.249509
10,90001,Los Angeles,Los Angeles,Standard,393,33.974027,-118.249509
11,90001,Los Angeles,Los Angeles,Standard,453,33.974027,-118.249509
12,90001,Los Angeles,Los Angeles,Standard,517,33.974027,-118.249509
13,90002,Los Angeles,Los Angeles,Standard,1,33.949099,-118.246737
14,90002,Los Angeles,Los Angeles,Standard,65,33.949099,-118.246737
15,90002,Los Angeles,Los Angeles,Standard,129,33.949099,-118.246737
16,90002,Los Angeles,Los Angeles,Standard,193,33.949099,-118.246737
17,90002,Los Angeles,Los Angeles,Standard,257,33.949099,-118.246737
18,90002,Los Angeles,Los Angeles,Standard,259,33.949099,-118.246737
19,90002,Los Angeles,Los Angeles,Standard,269,33.949099,-118.246737
20,90002,Los Angeles,Los Angeles,Standard,284,33.949099,-118.246737
21,90002,Los Angeles,Los Angeles,Standard,304,33.949099,-118.246737
22,90002,Los Angeles,Los Angeles,Standard,344,33.949099,-118.246737
23,90002,Los Angeles,Los Angeles,Standard,394,33.949099,-118.246737
24,90002,Los Angeles,Los Angeles,Standard,454,33.949099,-118.246737
25,90002,Los Angeles,Los Angeles,Standard,518,33.949099,-118.246737
26,90003,Los Angeles,Los Angeles,Standard,2,33.964131,-118.272783
27,90003,Los Angeles,Los Angeles,Standard,66,33.964131,-118.272783
28,90003,Los Angeles,Los Angeles,Standard,130,33.964131,-118.272783
29,90003,Los Angeles,Los Angeles,Standard,194,33.964131,-118.272783
30,90003,Los Angeles,Los Angeles,Standard,260,33.964131,-118.272783
31,90003,Los Angeles,Los Angeles,Standard,270,33.964131,-118.272783
32,90003,Los Angeles,Los Angeles,Standard,285,33.964131,-118.272783
33,90003,Los Angeles,Los Angeles,Standard,305,33.964131,-118.272783
34,90003,Los Angeles,Los Angeles,Standard,345,33.964131,-118.272783
35,90003,Los Angeles,Los Angeles,Standard,395,33.964131,-118.272783
36,90003,Los Angeles,Los Angeles,Standard,455,33.964131,-118.272783
37,90003,Los Angeles,Los Angeles,Standard,519,33.964131,-118.272783
38,90004,Los Angeles,Los Angeles,Standard,3,34.076198,-118.310722
39,90004,Los Angeles,Los Angeles,Standard,67,34.076198,-118.310722
40,90004,Los Angeles,Los Angeles,Standard,131,34.076198,-118.310722
41,90004,Los Angeles,Los Angeles,Standard,195,34.076198,-118.310722
42,90004,Los Angeles,Los Angeles,Standard,261,34.076198,-118.310722
43,90004,Los Angeles,Los Angeles,Standard,271,34.076198,-118.310722
44,90004,Los Angeles,Los Angeles,Standard,286,34.076198,-118.310722
45,90004,Los Angeles,Los Angeles,Standard,306,34.076198,-118.310722
46,90004,Los Angeles,Los Angeles,Standard,346,34.076198,-118.310722
47,90004,Los Angeles,Los Angeles,Standard,396,34.076198,-118.310722
48,90004,Los Angeles,Los Angeles,Standard,456,34.076198,-118.310722
49,90004,Los Angeles,Los Angeles,Standard,520,34.076198,-118.310722
50,90005,Los Angeles,Los Angeles,Standard,4,34.059163,-118.306892
